age,education,marital_status,income,expenditure,days,children,wines,fruits,meat,fish,sweets,gold
57,Postgraduate,Single,58138.0,1617,848,0,635,88,546,172,88,88
60,Postgraduate,Single,46344.0,27,298,2,11,1,6,2,1,6
49,Postgraduate,Married,71613.0,776,497,0,426,49,127,111,21,42
30,Postgraduate,Married,26646.0,53,324,1,11,4,20,10,3,5
33,Postgraduate,Married,58293.0,422,346,1,173,43,118,46,27,15
47,Postgraduate,Married,62513.0,716,478,1,520,42,98,0,42,14
43,Postgraduate,Divorced,55635.0,590,778,1,235,65,164,50,49,27
29,Postgraduate,Married,33454.0,169,602,1,76,10,56,3,1,23
40,Postgraduate,Married,30351.0,46,573,1,14,0,24,3,3,2
64,Postgraduate,Married,5648.0,49,293,2,28,0,6,1,1,13
38,Undergraduate,Married,7500.0,61,778,0,6,16,11,11,1,16
55,Postgraduate,Divorced,63033.0,1102,411,0,194,61,480,225,112,30
62,Postgraduate,Divorced,59354.0,310,411,2,233,2,53,3,5,14
27,Postgraduate,Married,17323.0,46,812,0,3,14,17,6,1,5
68,Postgraduate,Single,82800.0,1315,767,0,1006,22,115,59,68,45
34,Postgraduate,Married,41850.0,96,737,2,53,5,19,2,13,4
68,Postgraduate,Married,37760.0,317,852,0,84,5,38,150,12,28
65,Postgraduate,Married,76995.0,1782,643,1,1012,80,498,0,16,176
29,Undergraduate,Single,33812.0,133,788,1,4,17,19,30,24,39
32,Postgraduate,Married,37040.0,316,875,0,86,2,73,69,38,48
35,Postgraduate,Married,2447.0,1730,724,1,1,1,1725,1,1,1
65,Postgraduate,Married,58607.0,972,738,1,867,0,86,0,0,19
60,Postgraduate,Married,65324.0,544,354,1,384,0,102,21,32,5
63,Postgraduate,Married,40689.0,444,653,1,270,3,27,39,6,99
45,Postgraduate,Single,18589.0,75,728,0,6,4,25,15,12,13
38,Postgraduate,Married,53359.0,257,583,2,173,4,30,3,6,41
25,Postgraduate,Married,38360.0,131,579,1,36,2,42,20,21,10
49,Postgraduate,Married,84618.0,1672,404,0,684,100,801,21,66,0
25,Postgraduate,Divorced,10979.0,30,223,0,8,4,10,2,2,4
51,Postgraduate,Married,38620.0,318,599,0,112,17,44,34,22,89
44,Postgraduate,Married,40548.0,120,812,1,110,0,5,2,0,3
62,Postgraduate,Divorced,46610.0,302,793,2,96,12,96,33,22,43
68,Postgraduate,Married,68657.0,1196,679,0,482,34,471,119,68,22
